,author,title,description,url,urlToImage,publishedAt,content,source.name,category
438,Lottie Gibbons,Jodie Comer and Stephen Graham unite for new Channel 4 film set in Liverpool - Liverpool Echo,"Airing on Channel 4, filming begins in Liverpool City Region in early 2021",https://www.liverpoolecho.co.uk/news/tv/jodie-comer-stephen-graham-unite-19357482,https://i2-prod.liverpoolecho.co.uk/incoming/article19357542.ece/ALTERNATES/s1200/0_JS131554513.jpg,2020-11-27T17:07:00Z,"Two of Liverpool's famed screen talents, Jodie Comer and Stephen Graham, will reunite to star in a Channel 4 film set in the city.
Based in a fictional Liverpool care home, 'Help' tells the moving s",Liverpool Echo,entertainment
439,Tasha Hegarty,Kristen Stewart's Diana movie producer clears up casting rumour - Digital Spy,"""There is no connection to Brexit.""",https://www.digitalspy.com/movies/a34805476/kristen-stewart-diana-movie-producer-controversial-casting-rumour/,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/kristen-stewart-1573033246.jpg?crop=1.00xw:0.325xh;0,0.0477xh&resize=1200:*",2020-11-27T16:44:00Z,"The producer for the new Princess Diana biopic Spencerhas stepped in to clear up a controversial casting rumour.
After a casting call was put out for the role of a young Prince William suggesting th",digitalspy.com,entertainment
440,Neil McCormick,"The Bob Dylan conundrum: are the Grammys too afraid to honour the old, white man? - Telegraph.co.uk","The Grammys may have now got diversity right, but its string of other head-scratching snubs is beyond baffling. What on earth is going on?",https://www.telegraph.co.uk/music/artists/bob-dylan-conundrum-grammys-afraid-honour-old-white-man/,https://www.telegraph.co.uk/content/dam/books/2020/02/06/TELEMMGLPICT000183279797_trans_NvBQzQNjv4BqkOwR0iP77jSmoq9t8DUmdpoeWhrs_rFJRBZ2-2XkJAA.jpeg?impolicy=logo-overlay,2020-11-27T15:16:00Z,"The Grammys have been under attack in recent years for a lack of diversity (certainly in the major categories), coming under more scrutiny than ever in the wake of movements such as #MeToo and Black ",Telegraph.co.uk,entertainment
441,Sam Warner,Lucifer unveils new season 5B teaser video - Digital Spy,"""Have you seen Lucifer?""",https://www.digitalspy.com/tv/ustv/a34804517/lucifer-season-5-part-2-trailer-teaser/,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/lucifer-season-5-1598903530.png?crop=1xw:0.9726247987117552xh;center,top&resize=1200:*",2020-11-27T15:05:00Z,"Lucifer has dropped a brief sneak peek at the second half of season five.
The Netflix series wrapped-up the first part of its fifth run back in August, leaving us on a cliffhanger after a face-off b",digitalspy.com,entertainment
442,Chloe Morgan,"Mum of girl, 18, murdered by coke-fuelled teen recalls trying to wake daughter up - Daily Mail","In Britain's Deadliest Kids, Alison, whose daughter Samantha Madgin was 18 when she was murdered by a coke-fuelled teen in 2007, recalled banging on a hospital window to try and wake her up.",https://www.dailymail.co.uk/femail/article-8993409/Mum-girl-18-murdered-coke-fuelled-teen-recalls-trying-wake-daughter-up.html,https://i.dailymail.co.uk/1s/2020/11/27/14/36175246-0-image-a-10_1606485650054.jpg,2020-11-27T14:20:00Z,"A devastated mum has recalled the heartbreaking moment she banged on a hospital window to try and wake her daughter up after she was savagely attacked by a coke-fuelled teen killer. 
Samantha Madgin",Daily Mail,entertainment
444,By Niomi Harris For Mailonline,Tom Fletcher misses wife Giovanna amid her I'm A Celebrity stint - Daily Mail,"Speaking on Friday's Lorraine, the McFly singer, 35, revealed that he's missing his I'm A Celebrity star wife as it's been the 'longest time we've been apart since we were 13'",https://www.dailymail.co.uk/tvshowbiz/article-8993053/Tom-Fletcher-says-bizarre-not-speaking-wife-Giovanna-amid-Im-Celebrity-stint.html,https://i.dailymail.co.uk/1s/2020/11/27/10/36170496-0-image-a-5_1606474633341.jpg,2020-11-27T11:44:00Z,"His wife Giovanna Fletcher has been wowing in the I'm A Celebrity castle, winning over her campmates as the mother figure on the show.
But despite her success on the show, Tom Fletcher revealed that",Daily Mail,entertainment
445,By Kevin Kayhart For Dailymail.com,Miley Cyrus shares racy video for new Plastic Hearts album release - Daily Mail,"Miley Cyrus pulled her shirt up and flashed the camera in a racy video celebrating the release of her new studio album Plastic Hearts on Friday, November 27.",https://www.dailymail.co.uk/tvshowbiz/article-8992381/Miley-Cyrus-flashes-camera-racy-video-celebrating-release-new-album-Plastic-Hearts.html,https://i.dailymail.co.uk/1s/2020/11/27/07/36166206-0-image-a-53_1606463420265.jpg,2020-11-27T08:00:00Z,"Miley Cyrus' seventh studio album, the rock-infused Plastic Hearts, dropped at midnight on Friday.
And in true Miley style, the pop superstar rang in the release on social media by pulling up her sh",Daily Mail,entertainment
446,Ben Burrows,Mike Tyson vs Roy Jones result: Legends’ exhibition fight ends in draw - The Independent,The two former world champions met in an exhibition fight at the Staples Center in Los Angeles,https://www.independent.co.uk/sport/boxing/mike-tyson-roy-jones-result-fight-b1763399.html,https://static.independent.co.uk/2020/11/29/06/newFile.jpg,2020-11-29T06:04:00Z,"Mike Tyson rolled back the years against Roy Jones Jr as the two boxing legends drew their special one-off exhibition fight in Los Angeles.
The two former world champions and Hall of Fame fighters m",Independent,general
447,https://www.facebook.com/bbcnews,Sydney records hottest November night on record - BBC News,The Australian city recorded a minimum overnight temperature of 25.4C.,https://www.bbc.co.uk/news/world-australia-55118406,https://ichef.bbci.co.uk/news/1024/branded_news/DA3C/production/_115686855_064543681.jpg,2020-11-29T04:46:00Z,"image captionTemperatures in Sydney over the weekend have hit 40C
Sydney has recorded its hottest November night on record, with daytime temperatures expected to hit 40C on Sunday. 
The Australian ",BBC News,general
448,,Joe Joyce stuns Daniel Dubois to move closer to world-title shot - BBC Sport,British heavyweight Joe Joyce lands an upset win by stopping Daniel Dubois in 10 rounds to move closer to a world-title shot.,https://www.bbc.co.uk/sport/boxing/55118338,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/C786/production/_115687015_joyce.jpg,2020-11-29T01:01:00Z,"Joyce kept expertly finding Dubois' left eye with the jab
Joe Joyce landed a big upset and took a huge step towards a world heavyweight title shot by stopping Daniel Dubois in a captivating contest ",BBC News,general
